county,dateyear,totalpopulation,total_housing_units
Adams County,1985,268764,104376
Adams County,1986,268643,108677
Adams County,1987,269323,111852
Adams County,1988,269019,112933
Adams County,1989,266771,113086
Adams County,1990,265708,106947
Adams County,1991,273624,107282
Adams County,1992,281385,108074
Adams County,1993,290777,109367
Adams County,1994,300794,111800
Adams County,1995,312593,114742
Adams County,1996,323042,117691
Adams County,1997,332744,120682
Adams County,1998,344024,124925
Adams County,1999,355308,129403
Adams County,2000,351735,128717
Adams County,2001,359437,133917
Adams County,2002,371181,139734
Adams County,2003,377665,144635
Adams County,2004,385945,149648
Adams County,2005,395384,154113
Adams County,2006,407587,157948
Adams County,2007,415915,160651
Adams County,2008,425138,162115
Adams County,2009,436323,162794
Adams County,2010,443711,163259
Adams County,2011,451749,163875
Adams County,2012,460064,164378
Adams County,2013,469477,165984
Adams County,2014,479777,167154
Adams County,2015,489923,168657
Adams County,2016,497673,170132
Alamosa County,1985,13011,5113
Alamosa County,1986,13336,5117
Alamosa County,1987,13427,5126
Alamosa County,1988,13715,5147
Alamosa County,1989,13660,5293
Alamosa County,1990,13630,5254
Alamosa County,1991,13639,5283
Alamosa County,1992,13572,5303
Alamosa County,1993,13657,5357
Alamosa County,1994,13823,5430
Alamosa County,1995,14097,5475
Alamosa County,1996,14322,5651
Alamosa County,1997,14478,5719
Alamosa County,1998,14623,5808
Alamosa County,1999,14822,6019
Alamosa County,2000,15099,6146
Alamosa County,2001,15231,6200
Alamosa County,2002,15266,6246
Alamosa County,2003,15360,6299
Alamosa County,2004,15406,6350
Alamosa County,2005,15395,6392
Alamosa County,2006,15350,6417
Alamosa County,2007,15293,6462
Alamosa County,2008,15346,6510
Alamosa County,2009,15301,6536
Alamosa County,2010,15474,6561
Alamosa County,2011,15679,6600
Alamosa County,2012,15687,6619
Alamosa County,2013,15804,6694
Alamosa County,2014,15845,6727
Alamosa County,2015,15968,6781
Alamosa County,2016,16131,6853
Arapahoe County,1985,381244,153726
Arapahoe County,1986,387244,159313
Arapahoe County,1987,388687,163322
Arapahoe County,1988,386723,165411
Arapahoe County,1989,389502,166846
Arapahoe County,1990,393284,168665
Arapahoe County,1991,403202,169302
Arapahoe County,1992,417681,170329
Arapahoe County,1993,427470,172532
Arapahoe County,1994,436405,175437
Arapahoe County,1995,442539,179635
Arapahoe County,1996,451065,183260
Arapahoe County,1997,459058,186853
Arapahoe County,1998,472399,190785
Arapahoe County,1999,481306,195845
Arapahoe County,2000,490722,198605
Arapahoe County,2001,501671,202264
Arapahoe County,2002,510503,208601
Arapahoe County,2003,516354,213840
Arapahoe County,2004,523715,217147
Arapahoe County,2005,528214,221982
Arapahoe County,2006,536051,226156
Arapahoe County,2007,545882,230285
Arapahoe County,2008,556246,233100
Arapahoe County,2009,566480,236200
Arapahoe County,2010,574819,238566
Arapahoe County,2011,585507,239195
Arapahoe County,2012,595776,239524
Arapahoe County,2013,607145,241472
Arapahoe County,2014,617936,243577
Arapahoe County,2015,629066,245869
Arapahoe County,2016,637254,248692
Archuleta County,1985,5213,3379
Archuleta County,1986,5335,3635
Archuleta County,1987,5265,3869
Archuleta County,1988,5004,3979
Archuleta County,1989,5196,4082
Archuleta County,1990,5393,3951
Archuleta County,1991,5626,4023
Archuleta County,1992,5880,4086
Archuleta County,1993,6177,4193
Archuleta County,1994,6539,4294
Archuleta County,1995,7108,4483
Archuleta County,1996,7928,4731
Archuleta County,1997,8534,4980
Archuleta County,1998,9133,5223
Archuleta County,1999,9570,5536
Archuleta County,2000,10043,6302
Archuleta County,2001,10465,6667
Archuleta County,2002,10700,6967
Archuleta County,2003,10964,7350
Archuleta County,2004,11171,7582
Archuleta County,2005,11402,7836
Archuleta County,2006,11798,8104
Archuleta County,2007,12108,8428
Archuleta County,2008,12074,8652
Archuleta County,2009,11899,8714
Archuleta County,2010,12060,8772
Archuleta County,2011,12003,8818
Archuleta County,2012,12109,8870
Archuleta County,2013,12211,8930
Archuleta County,2014,12258,9011
Archuleta County,2015,12417,9090
Archuleta County,2016,12907,9199
Baca County,1985,4873,2581
Baca County,1986,4587,2603
Baca County,1987,4559,2625
Baca County,1988,4728,2630
Baca County,1989,4629,2587
Baca County,1990,4526,2434
Baca County,1991,4441,2435
Baca County,1992,4302,2438
Baca County,1993,4326,2442
Baca County,1994,4391,2445
Baca County,1995,4428,2452
Baca County,1996,4526,2456
Baca County,1997,4562,2461
Baca County,1998,4531,2471
Baca County,1999,4523,2489
Baca County,2000,4499,2360
Baca County,2001,4447,2352
Baca County,2002,4315,2342
Baca County,2003,4258,2333
Baca County,2004,4166,2327
Baca County,2005,4098,2317
Baca County,2006,4088,2301
Baca County,2007,3993,2287
Baca County,2008,3906,2273
Baca County,2009,3814,2257
Baca County,2010,3795,2248
Baca County,2011,3799,2250
Baca County,2012,3746,2252
Baca County,2013,3679,2252
Baca County,2014,3624,2252
Baca County,2015,3594,2252
Baca County,2016,3557,2252
Bent County,1985,5699,2532
Bent County,1986,5729,2548
Bent County,1987,5432,2561
Bent County,1988,5432,2571
Bent County,1989,5210,2574
Bent County,1990,5027,2332
Bent County,1991,4960,2334
Bent County,1992,5040,2335
Bent County,1993,5350,2337
Bent County,1994,5400,2342
Bent County,1995,5549,2354
Bent County,1996,5623,2373
Bent County,1997,5640,2425
Bent County,1998,5993,2440
Bent County,1999,5996,2463
Bent County,2000,5967,2365
Bent County,2001,5882,2362
Bent County,2002,6203,2353
Bent County,2003,6653,2343
Bent County,2004,6357,2323
Bent County,2005,6261,2312
Bent County,2006,6076,2300
Bent County,2007,5773,2285
Bent County,2008,6008,2271
Bent County,2009,6481,2255
Bent County,2010,6506,2243
Bent County,2011,6304,2243
Bent County,2012,5778,2245
Bent County,2013,5708,2249
Bent County,2014,5747,2249
Bent County,2015,5847,2249
Bent County,2016,5626,2251
Boulder County,1985,209444,88178
Boulder County,1986,211841,90087
Boulder County,1987,214222,92060
Boulder County,1988,218380,93728
Boulder County,1989,222354,94466
Boulder County,1990,226014,94621
Boulder County,1991,230977,96048
Boulder County,1992,238397,97631
Boulder County,1993,247275,100204
Boulder County,1994,252725,102888
Boulder County,1995,257500,105055
Boulder County,1996,261765,107800
Boulder County,1997,266063,110475
Boulder County,1998,274115,113224
Boulder County,1999,283924,117952
Boulder County,2000,276255,114121
Boulder County,2001,283510,116588
Boulder County,2002,284433,118445
Boulder County,2003,282763,120272
Boulder County,2004,283288,121715
Boulder County,2005,282910,123133
Boulder County,2006,286133,124311
Boulder County,2007,288757,125261
Boulder County,2008,291827,125999
Boulder County,2009,293641,126756
Boulder County,2010,295605,127183
Boulder County,2011,300171,127873
Boulder County,2012,305016,128436
Boulder County,2013,309971,129798
Boulder County,2014,313190,131196
Boulder County,2015,318570,132483
Boulder County,2016,321989,133692
Broomfield County,1985,0,0
Broomfield County,1986,0,0
Broomfield County,1987,0,0
Broomfield County,1988,0,0
Broomfield County,1989,0,0
Broomfield County,1990,0,0
Broomfield County,1991,0,0
Broomfield County,1992,0,0
Broomfield County,1993,0,0
Broomfield County,1994,0,0
Broomfield County,1995,0,0
Broomfield County,1996,0,0
Broomfield County,1997,0,0
Broomfield County,1998,0,0
Broomfield County,1999,0,0
Broomfield County,2000,38544,14450
Broomfield County,2001,41387,15056
Broomfield County,2002,42432,15881
Broomfield County,2003,44960,16800
Broomfield County,2004,46406,17548
Broomfield County,2005,48251,18778
Broomfield County,2006,51152,19729
Broomfield County,2007,53328,20727
Broomfield County,2008,54400,21472
Broomfield County,2009,55378,22327
Broomfield County,2010,56107,22684
Broomfield County,2011,57211,22894
Broomfield County,2012,58715,23103
Broomfield County,2013,59975,23563
Broomfield County,2014,61554,24620
Broomfield County,2015,64656,25975
Broomfield County,2016,66252,26324
Chaffee County,1985,12349,6402
Chaffee County,1986,12473,6473
Chaffee County,1987,12453,6511
Chaffee County,1988,12390,6572
Chaffee County,1989,12559,6575
Chaffee County,1990,12706,6547
Chaffee County,1991,12864,6583
Chaffee County,1992,13121,6687
Chaffee County,1993,13700,6770
Chaffee County,1994,14107,6887
Chaffee County,1995,14656,7069
Chaffee County,1996,15125,7280
Chaffee County,1997,15406,7533
Chaffee County,1998,15526,7699
Chaffee County,1999,15936,7914
Chaffee County,2000,16312,8449
Chaffee County,2001,16410,8660
Chaffee County,2002,16646,8840
Chaffee County,2003,16794,9060
Chaffee County,2004,16946,9243
Chaffee County,2005,17022,9419
Chaffee County,2006,16984,9549
Chaffee County,2007,17238,9725
Chaffee County,2008,17403,9943
Chaffee County,2009,17604,9988
Chaffee County,2010,17797,10043
Chaffee County,2011,18012,10129
Chaffee County,2012,18123,10173
Chaffee County,2013,18281,10243
Chaffee County,2014,18459,10310
Chaffee County,2015,18603,10442
Chaffee County,2016,19097,10664
Cheyenne County,1985,2294,1060
Cheyenne County,1986,2185,1090
Cheyenne County,1987,2097,1119
Cheyenne County,1988,2208,1122
Cheyenne County,1989,2314,1128
Cheyenne County,1990,2413,1083
Cheyenne County,1991,2476,1087
Cheyenne County,1992,2407,1089
Cheyenne County,1993,2306,1092
Cheyenne County,1994,2291,1097
Cheyenne County,1995,2269,1101
Cheyenne County,1996,2284,1103
Cheyenne County,1997,2295,1105
Cheyenne County,1998,2343,1111
Cheyenne County,1999,2279,1113
Cheyenne County,2000,2216,1103
Cheyenne County,2001,2173,1090
Cheyenne County,2002,2162,1078
Cheyenne County,2003,2119,1064
Cheyenne County,2004,2070,1050
Cheyenne County,2005,2041,1038
Cheyenne County,2006,1977,1026
Cheyenne County,2007,1910,1013
Cheyenne County,2008,1898,999
Cheyenne County,2009,1833,985
Cheyenne County,2010,1834,975
Cheyenne County,2011,1864,976
Cheyenne County,2012,1875,976
Cheyenne County,2013,1889,985
Cheyenne County,2014,1847,986
Cheyenne County,2015,1830,992
Cheyenne County,2016,1853,997
Clear Creek County,1985,7936,4596
Clear Creek County,1986,8159,4647
Clear Creek County,1987,7822,4681
Clear Creek County,1988,7727,4724
Clear Creek County,1989,7667,4839
Clear Creek County,1990,7613,4811
Clear Creek County,1991,7653,4834
Clear Creek County,1992,7842,4856
Clear Creek County,1993,8037,4921
Clear Creek County,1994,8458,4990
Clear Creek County,1995,8684,5071
Clear Creek County,1996,8716,5154
Clear Creek County,1997,8880,5247
Clear Creek County,1998,8998,5330
Clear Creek County,1999,9183,5432
Clear Creek County,2000,9361,5175
Clear Creek County,2001,9464,5245
Clear Creek County,2002,9466,5313
Clear Creek County,2003,9517,5382
Clear Creek County,2004,9461,5461
Clear Creek County,2005,9392,5511
Clear Creek County,2006,9279,5545
Clear Creek County,2007,9333,5596
Clear Creek County,2008,9294,5638
Clear Creek County,2009,9060,5664
Clear Creek County,2010,9155,5687
Clear Creek County,2011,9070,5700
Clear Creek County,2012,9103,5716
Clear Creek County,2013,9095,5711
Clear Creek County,2014,9210,5718
Clear Creek County,2015,9392,5726
Clear Creek County,2016,9443,5740
Conejos County,1985,7776,3316
Conejos County,1986,7947,3313
Conejos County,1987,8090,3310
Conejos County,1988,7854,3318
Conejos County,1989,7623,3309
Conejos County,1990,7451,3574
Conejos County,1991,7534,3575
Conejos County,1992,7514,3575
Conejos County,1993,7642,3576
Conejos County,1994,7755,3581
Conejos County,1995,7906,3585
Conejos County,1996,8019,3586
Conejos County,1997,8100,3754
Conejos County,1998,8187,3920
Conejos County,1999,8308,3888
Conejos County,2000,8408,3887
Conejos County,2001,8365,3886
Conejos County,2002,8389,3887
Conejos County,2003,8387,4084
Conejos County,2004,8501,4112
Conejos County,2005,8500,4157
Conejos County,2006,8470,4193
Conejos County,2007,8433,4228
Conejos County,2008,8384,4257
Conejos County,2009,8210,4274
Conejos County,2010,8282,4290
Conejos County,2011,8282,4307
Conejos County,2012,8246,4321
Conejos County,2013,8229,4335
Conejos County,2014,8246,4350
Conejos County,2015,8074,4365
Conejos County,2016,8039,4388
Costilla County,1985,3363,1614
Costilla County,1986,3307,1640
Costilla County,1987,3349,1667
Costilla County,1988,3397,1671
Costilla County,1989,3277,1600
Costilla County,1990,3193,1743
Costilla County,1991,3256,1743
Costilla County,1992,3190,1743
Costilla County,1993,3337,2133
Costilla County,1994,3376,2133
Costilla County,1995,3511,2133
Costilla County,1996,3581,2133
Costilla County,1997,3641,2133
Costilla County,1998,3700,2133
Costilla County,1999,3679,2133
Costilla County,2000,3674,2211
Costilla County,2001,3741,2244
Costilla County,2002,3734,2278
Costilla County,2003,3800,2300
Costilla County,2004,3802,2330
Costilla County,2005,3695,2373
Costilla County,2006,3698,2426
Costilla County,2007,3676,2473
Costilla County,2008,3611,2523
Costilla County,2009,3505,2584
Costilla County,2010,3532,2622
Costilla County,2011,3647,2649
Costilla County,2012,3601,2667
Costilla County,2013,3537,2684
Costilla County,2014,3560,2710
Costilla County,2015,3572,2740
Costilla County,2016,3707,2777
COUNTY,0,0,0
Crowley County,1985,2997,1309
Crowley County,1986,2985,1310
Crowley County,1987,3072,1362
Crowley County,1988,3842,1405
Crowley County,1989,3901,1405
Crowley County,1990,3929,1415
Crowley County,1991,3973,1416
Crowley County,1992,4140,1417
Crowley County,1993,4145,1417
Crowley County,1994,4207,1417
Crowley County,1995,4221,1418
Crowley County,1996,4266,1419
Crowley County,1997,4303,1442
Crowley County,1998,4286,1444
Crowley County,1999,4998,1539
Crowley County,2000,5130,1546
Crowley County,2001,5253,1561
Crowley County,2002,5344,1561
Crowley County,2003,5156,1560
Crowley County,2004,5432,1558
Crowley County,2005,5437,1560
Crowley County,2006,5713,1561
Crowley County,2007,5907,1559
Crowley County,2008,5893,1562
Crowley County,2009,5803,1561
Crowley County,2010,5838,1559
Crowley County,2011,5817,1563
Crowley County,2012,5376,1565
Crowley County,2013,5278,1565
Crowley County,2014,5550,1568
Crowley County,2015,5569,1575
Crowley County,2016,5214,1580
Custer County,1985,2066,1300
Custer County,1986,2075,1304
Custer County,1987,2050,1310
Custer County,1988,1976,1313
Custer County,1989,1947,1336
Custer County,1990,1944,2216
Custer County,1991,2012,2216
Custer County,1992,2141,2253
Custer County,1993,2323,2297
Custer County,1994,2418,2363
Custer County,1995,2618,2450
Custer County,1996,2848,2542
Custer County,1997,3057,2623
Custer County,1998,3175,2841
Custer County,1999,3364,2978
Custer County,2000,3520,3029
Custer County,2001,3730,3079
Custer County,2002,3783,3157
Custer County,2003,3934,3249
Custer County,2004,3984,3313
Custer County,2005,4045,3442
Custer County,2006,4017,3573
Custer County,2007,4130,3696
Custer County,2008,4119,3797
Custer County,2009,4166,3888
Custer County,2010,4272,3971
Custer County,2011,4227,4034
Custer County,2012,4241,4099
Custer County,2013,4287,4152
Custer County,2014,4368,4198
Custer County,2015,4457,4240
Custer County,2016,4617,4283
Delta County,1985,23466,9974
Delta County,1986,22353,9689
Delta County,1987,21782,9387
Delta County,1988,21502,9402
Delta County,1989,21205,9397
Delta County,1990,20991,10082
Delta County,1991,21229,10085
Delta County,1992,21869,10089
Delta County,1993,23233,10159
Delta County,1994,24343,10453
Delta County,1995,25193,10507
Delta County,1996,25718,10557
Delta County,1997,26005,10616
Delta County,1998,26821,10655
Delta County,1999,27400,10730
Delta County,2000,27909,12410
Delta County,2001,28387,12685
Delta County,2002,28778,12926
Delta County,2003,29061,13175
Delta County,2004,29453,13453
Delta County,2005,29412,13733
Delta County,2006,29702,14040
Delta County,2007,29877,14265
Delta County,2008,30342,14439
Delta County,2009,30625,14516
Delta County,2010,30889,14575
Delta County,2011,30370,14567
Delta County,2012,30461,14555
Delta County,2013,30322,14623
Delta County,2014,29988,14687
Delta County,2015,29973,14683
Delta County,2016,30471,14679
Denver County,1985,496431,238346
Denver County,1986,497014,239660
Denver County,1987,490274,242120
Denver County,1988,479622,243234
Denver County,1989,472785,243525
Denver County,1990,467854,239636
Denver County,1991,475183,239578
Denver County,1992,488258,239474
Denver County,1993,501335,239757
Denver County,1994,504249,240542
Denver County,1995,507723,242644
Denver County,1996,518255,243430
Denver County,1997,527442,244862
Denver County,1998,533406,247123
Denver County,1999,545517,252354
Denver County,2000,556738,252392
Denver County,2001,563300,256223
Denver County,2002,559090,260857
Denver County,2003,560348,265654
Denver County,2004,560230,268921
Denver County,2005,559459,273126
Denver County,2006,562862,276569
Denver County,2007,570437,280158
Denver County,2008,581903,281076
Denver County,2009,595573,283636
Denver County,2010,604879,286635
Denver County,2011,620684,287753
Denver County,2012,634471,289832
Denver County,2013,648162,294752
Denver County,2014,662855,300694
Denver County,2015,680658,306478
Denver County,2016,693292,314631
Dolores County,1985,1548,916
Dolores County,1986,1529,945
Dolores County,1987,1494,974
Dolores County,1988,1591,976
Dolores County,1989,1541,1009
Dolores County,1990,1489,947
Dolores County,1991,1437,947
Dolores County,1992,1403,953
Dolores County,1993,1426,957
Dolores County,1994,1499,970
Dolores County,1995,1566,975
Dolores County,1996,1636,987
Dolores County,1997,1674,993
Dolores County,1998,1766,996
Dolores County,1999,1811,1002
Dolores County,2000,1849,1200
Dolores County,2001,1865,1226
Dolores County,2002,1880,1254
Dolores County,2003,1879,1283
Dolores County,2004,1873,1312
Dolores County,2005,1888,1338
Dolores County,2006,1990,1367
Dolores County,2007,2001,1394
Dolores County,2008,2074,1422
Dolores County,2009,2052,1448
Dolores County,2010,2060,1468
Dolores County,2011,2025,1468
Dolores County,2012,1990,1468
Dolores County,2013,2021,1469
Dolores County,2014,1965,1469
Dolores County,2015,1972,1476
Dolores County,2016,2035,1476
Douglas County,1985,40048,15225
Douglas County,1986,45654,17810
Douglas County,1987,48844,20189
Douglas County,1988,53127,22017
Douglas County,1989,57164,23622
Douglas County,1990,61559,22291
Douglas County,1991,66688,23878
Douglas County,1992,75361,25794
Douglas County,1993,83132,28810
Douglas County,1994,92526,32229
Douglas County,1995,103839,36274
Douglas County,1996,114713,41059
Douglas County,1997,129331,46739
Douglas County,1998,144354,52303
Douglas County,1999,162323,58385
Douglas County,2000,180510,65623
